x-axis,1,2,EXT
second,Volt,Volt,
+52.44000E-03,+7.64925030E+00,+8.13151912E+00,1
+52.52000E-03,+7.62629072E+00,+8.06910822E+00,1
+52.60000E-03,+7.66420586E+00,+8.06910822E+00,1
+52.68000E-03,+7.66445812E+00,+8.15755043E+00,1
+52.76000E-03,+7.67187827E+00,+8.15755043E+00,1
+52.84000E-03,+7.64528797E+00,+8.15774253E+00,1
+52.92000E-03,+7.67187827E+00,+8.20824315E+00,1
+53.00000E-03,+7.66805293E+00,+8.25874377E+00,1
+53.08000E-03,+7.69085379E+00,+8.24599265E+00,1
+53.16000E-03,+7.66428522E+00,+8.22068250E+00,1
+53.24000E-03,+7.67187827E+00,+8.33443486E+00,1
+53.32000E-03,+7.67187827E+00,+8.29656569E+00,1
+53.40000E-03,+7.67190000E+00,+8.24606508E+00,1
+53.48000E-03,+7.67187827E+00,+8.37244889E+00,1
+53.56000E-03,+7.67562424E+00,+8.34692145E+00,1
+53.64000E-03,+7.67187827E+00,+8.39742207E+00,1
+53.72000E-03,+7.68690563E+00,+8.42287707E+00,1
+53.80000E-03,+7.69454213E+00,+8.42287707E+00,1
+53.88000E-03,+7.69841093E+00,+8.49808634E+00,1
+53.96000E-03,+7.69830984E+00,+8.51098232E+00,1
+54.04000E-03,+7.68336183E+00,+8.59976150E+00,1
+54.12000E-03,+7.69841093E+00,+8.58753944E+00,1
+54.20000E-03,+7.69841093E+00,+8.53703883E+00,1
+54.28000E-03,+7.69841093E+00,+8.59976150E+00,1
+54.36000E-03,+7.72099544E+00,+8.59976150E+00,1
+54.44000E-03,+7.72494359E+00,+8.61352352E+00,1
+54.52000E-03,+7.72458270E+00,+8.68880521E+00,1
+54.60000E-03,+7.72494359E+00,+8.68820371E+00,1
+54.68000E-03,+7.72494359E+00,+8.70016124E+00,1
+54.76000E-03,+7.71400137E+00,+8.75066186E+00,1
+54.84000E-03,+7.72494359E+00,+8.71272026E+00,1
+54.92000E-03,+7.72091608E+00,+8.76322088E+00,1
+55.00000E-03,+7.74718893E+00,+8.77664593E+00,1
+55.08000E-03,+7.72494359E+00,+8.77577990E+00,1
+55.16000E-03,+7.72494359E+00,+8.77664593E+00,1
+55.24000E-03,+7.72845149E+00,+8.85339515E+00,1
+55.32000E-03,+7.74360167E+00,+8.86508814E+00,1
+55.40000E-03,+7.77073332E+00,+8.84083613E+00,1
+55.48000E-03,+7.72905047E+00,+8.87877773E+00,1
+55.56000E-03,+7.72494359E+00,+8.86508814E+00,1
+55.64000E-03,+7.75181543E+00,+8.69159540E+00,1
+55.72000E-03,+7.75147626E+00,+8.86508814E+00,1
+55.80000E-03,+7.77458038E+00,+8.79950285E+00,1
+55.88000E-03,+7.75147626E+00,+8.82967220E+00,1
+55.96000E-03,+7.77081268E+00,+8.84110066E+00,1
+56.04000E-03,+7.77800892E+00,+8.79060005E+00,1
+56.12000E-03,+7.77340416E+00,+8.81319243E+00,1
+56.20000E-03,+7.75189478E+00,+8.95213526E+00,1
+56.28000E-03,+7.75147626E+00,+8.77664593E+00,1
+56.36000E-03,+7.75482543E+00,+8.77664593E+00,1
+56.44000E-03,+7.77800892E+00,+8.83831047E+00,1
+56.52000E-03,+7.76571002E+00,+8.77664593E+00,1
+56.60000E-03,+7.75147626E+00,+8.77664593E+00,1
+56.68000E-03,+7.75147626E+00,+8.81292790E+00,1
+56.76000E-03,+7.77751103E+00,+8.86342851E+00,1
+56.84000E-03,+7.76612855E+00,+8.77664593E+00,1
+56.92000E-03,+7.80127176E+00,+8.69910311E+00,1
+57.00000E-03,+7.76989626E+00,+8.77664593E+00,1
+57.08000E-03,+7.79750406E+00,+8.80010434E+00,1
+57.16000E-03,+7.77800892E+00,+8.77664593E+00,1
+57.24000E-03,+7.76720369E+00,+8.68820371E+00,1
+57.32000E-03,+7.80396433E+00,+8.69012788E+00,1
+57.40000E-03,+7.79258186E+00,+8.72806947E+00,1
+57.48000E-03,+7.77800892E+00,+8.69883857E+00,1
+57.56000E-03,+7.78620094E+00,+8.68820371E+00,1
+57.64000E-03,+7.77800892E+00,+8.66500983E+00,1
+57.72000E-03,+7.79569295E+00,+8.68820371E+00,1
+57.80000E-03,+7.78873479E+00,+8.59976150E+00,1
+57.88000E-03,+7.80388497E+00,+8.59757281E+00,1
+57.96000E-03,+7.79250250E+00,+8.59976150E+00,1
+58.04000E-03,+7.78112002E+00,+8.59976150E+00,1
+58.12000E-03,+7.80454158E+00,+8.57219023E+00,1
+58.20000E-03,+7.78488772E+00,+8.57683215E+00,1
+58.28000E-03,+7.77800892E+00,+8.51131929E+00,1
+58.36000E-03,+7.80454158E+00,+8.54680766E+00,1
+58.44000E-03,+7.77800892E+00,+8.51131929E+00,1
+58.52000E-03,+7.79012737E+00,+8.55171411E+00,1
+58.60000E-03,+7.82804251E+00,+8.50121349E+00,1
+58.68000E-03,+7.78635966E+00,+8.51131929E+00,1
+58.76000E-03,+7.76507514E+00,+8.42287707E+00,1
+58.84000E-03,+7.78259195E+00,+8.49604251E+00,1
+58.92000E-03,+7.80454158E+00,+8.51131929E+00,1
+59.00000E-03,+7.83107425E+00,+8.33715262E+00,1
+59.08000E-03,+7.80454158E+00,+8.33443486E+00,1
+59.16000E-03,+7.83107425E+00,+8.33443486E+00,1
+59.24000E-03,+7.81297168E+00,+8.33443486E+00,1
+59.32000E-03,+7.79782150E+00,+8.31203458E+00,1
+59.40000E-03,+7.82641185E+00,+8.31889354E+00,1
